country,fulfill via,shipment mode,scheduled delivery date,delivered to client date,vendor,dosage form,manufacturing site,line item value,weight (kilograms),delivered late
Côte d'Ivoire,Direct Drop,Air,2006-06-02,2006-06-02,RANBAXY Fine Chemicals LTD.,Test kit,Ranbaxy Fine Chemicals LTD,551.0,13,False
Vietnam,Direct Drop,Air,2006-11-14,2006-11-14,Aurobindo Pharma Limited,Oral suspension,"Aurobindo Unit III, India",6200.0,358,False
Côte d'Ivoire,Direct Drop,Air,2006-08-27,2006-08-27,Abbott GmbH & Co. KG,Test kit,ABBVIE GmbH & Co.KG Wiesbaden,40000.0,171,False
Vietnam,Direct Drop,Air,2006-09-01,2006-09-01,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Tablet,"Ranbaxy, Paonta Shahib, India",127360.8,1855,False
Vietnam,Direct Drop,Air,2006-08-11,2006-08-11,Aurobindo Pharma Limited,Capsule,"Aurobindo Unit III, India",121600.0,7590,False
Nigeria,Direct Drop,Air,2006-09-28,2006-09-28,Aurobindo Pharma Limited,Oral solution,"Aurobindo Unit III, India",2225.6,504,False
Zambia,Direct Drop,Air,2007-01-08,2007-01-08,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Capsule,MSD South Granville Australia,4374.0,328,False
Tanzania,Direct Drop,Air,2006-11-24,2006-11-24,Aurobindo Pharma Limited,Tablet,"Aurobindo Unit III, India",60834.55,1478,False
Nigeria,Direct Drop,Air,2006-12-07,2006-12-07,Aurobindo Pharma Limited,Capsule,"Aurobindo Unit III, India",532.35,See ASN-93 (ID#:1281),False
Zambia,Direct Drop,Air,2007-01-30,2007-01-30,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tablet,ABBVIE (Abbott) St. P'burg USA,115080.0,643,False
Zambia,Direct Drop,Air,2007-02-16,2007-02-16,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tablet,ABBVIE Ludwigshafen Germany,115080.0,643,False
Zambia,Direct Drop,Air,2007-01-08,2007-01-08,"Trinity Biotech, Plc",Test kit,"Trinity Biotech, Plc",100000.0,853,False
Nigeria,Direct Drop,Air,2007-01-10,2007-01-10,EY Laboratories,Test kit,"EY Laboratories, USA",850.0,Weight Captured Separately,False
Rwanda,Direct Drop,Air,2007-02-27,2007-02-27,CIPLA LIMITED,Tablet - FDC,"Cipla, Goa, India",99800.0,7416,False
Haiti,Direct Drop,Air,2007-01-18,2007-01-18,Abbott GmbH & Co. KG,Test kit,ABBVIE GmbH & Co.KG Wiesbaden,60000.0,256,False
Zimbabwe,Direct Drop,Air,2007-03-19,2007-03-19,BRISTOL-MYERS SQUIBB,Tablet,"BMS Meymac, France",14764.5,Weight Captured Separately,False
Nigeria,Direct Drop,,2007-05-07,2007-05-07,ACCOUN NIGERIA LIMITED,Test kit,ABBVIE GmbH & Co.KG Wiesbaden,120000.0,Weight Captured Separately,False
Rwanda,Direct Drop,Air,2007-03-29,2007-03-29,Premier Medical Corporation Ltd.,Test kit,Premier Med. Corp Ltd. India,33000.0,710,False
Vietnam,Direct Drop,Air,2012-11-12,2012-11-12,CIPLA LIMITED,Tablet,"Cipla, Goa, India",3465.0,34,False
Tanzania,Direct Drop,Air,2007-06-06,2007-06-06,BRISTOL-MYERS SQUIBB,Powder for oral solution,"BMS Meymac, France",8964.08,162,False
Nigeria,Direct Drop,Air,2007-06-19,2007-06-19,Abbott GmbH & Co. KG,Test kit,ABBVIE GmbH & Co.KG Wiesbaden,80000.0,341,False
Nigeria,Direct Drop,Air,2007-06-19,2007-06-19,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Test kit,Chembio Diagnostics Sys. Inc.,202500.0,2278,False
Côte d'Ivoire,Direct Drop,Air,2007-10-02,2007-10-02,BRISTOL-MYERS SQUIBB,Tablet,"BMS Meymac, France",140581.5,2126,False
Vietnam,Direct Drop,Air,2007-10-15,2007-10-15,Aurobindo Pharma Limited,Oral suspension,"Aurobindo Unit III, India",1920.0,941,False
Vietnam,Direct Drop,Air,2007-08-27,2007-08-27,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tablet,ABBVIE Ludwigshafen Germany,41095.0,117,False
Haiti,Direct Drop,Air,2007-08-13,2007-08-21,"Orgenics, Ltd",Test kit,Inverness Japan,53992.5,171,True
Haiti,Direct Drop,Air,2007-08-25,2007-08-25,Orasure Technologies Inc.,Test kit,"Pacific Biotech, Thailand",8750.0,60,False
Tanzania,Direct Drop,Air,2007-10-16,2007-10-16,"Standard Diagnostics, Inc.",Test kit,"Standard Diagnostics, Korea",200000.0,3335,False
Tanzania,Direct Drop,Air,2007-11-22,2007-11-22,"Standard Diagnostics, Inc.",Test kit,"Standard Diagnostics, Korea",200000.0,3335,False
Tanzania,Direct Drop,Air,2007-11-22,2007-11-22,"Standard Diagnostics, Inc.",Test kit,"Standard Diagnostics, Korea",200000.0,3335,False
Ethiopia,Direct Drop,Air,2007-11-20,2007-11-20,Aurobindo Pharma Limited,Capsule,"Aurobindo Unit III, India",99200.0,4228,False
Nigeria,Direct Drop,Air,2007-10-03,2007-10-03,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Test kit,Chembio Diagnostics Sys. Inc.,270000.0,3263,False
South Africa,Direct Drop,,2008-01-29,2008-01-29,"JSI R&T INSTITUTE, INC.",Oral solution,GSK Mississauga (Canada),317.6,Weight Captured Separately,False
Vietnam,Direct Drop,Air,2008-01-21,2008-01-21,"GILEAD SCIENCES IRELAND, INC.",Tablet,Gilead(Nycomed) Oranienburg DE,17000.0,76,False
Vietnam,Direct Drop,Air,2008-01-21,2008-01-21,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Tablet,"Ranbaxy, Paonta Shahib, India",3352.0,23,False
Rwanda,Direct Drop,Air,2008-01-31,2008-01-31,"Orgenics, Ltd",Test kit - Ancillary,Inverness Japan,15.0,99,False
Nigeria,Direct Drop,Air,2008-02-05,2008-02-05,"Orgenics, Ltd",Test kit - Ancillary,Inverness Japan,6.5,Weight Captured Separately,False
South Africa,Direct Drop,,2008-01-21,2008-01-04,"JSI R&T INSTITUTE, INC.",Powder for oral solution,"BMS Meymac, France",340.0,Weight Captured Separately,False
Haiti,Direct Drop,Air,2008-02-18,2008-02-18,"Trinity Biotech, Plc",Test kit,"Trinity Biotech, Plc",278.0,Weight Captured Separately,False
Côte d'Ivoire,Direct Drop,Air,2008-06-17,2008-06-17,BIO-RAD LABORATORIES (FRANCE),Test kit,Bio-Rad Laboratories,36176.0,509,False
Côte d'Ivoire,Direct Drop,Air,2009-03-19,2009-03-19,"Standard Diagnostics, Inc.",Test kit,"Standard Diagnostics, Korea",13180.0,206,False
Guyana,Direct Drop,Air,2008-04-09,2008-04-01,"Orgenics, Ltd",Test kit - Ancillary,Inverness Japan,2.4,Weight Captured Separately,False
Guyana,Direct Drop,Air,2008-07-28,2008-07-28,"Orgenics, Ltd",Test kit - Ancillary,Inverness Japan,2.13,14,False
Ethiopia,Direct Drop,,2008-03-11,2008-03-11,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Test kit,"Trinity Biotech, Plc",13399.25,Weight Captured Separately,False
Zimbabwe,Direct Drop,Air,2008-11-17,2008-11-17,"Orgenics, Ltd",Test kit,Inverness Japan,117631.66,373,False
Nigeria,Direct Drop,Air,2008-04-17,2008-04-17,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Test kit,Chembio Diagnostics Sys. Inc.,38475.0,483,False
Namibia,Direct Drop,Air,2008-06-04,2008-06-04,"Orgenics, Ltd",Test kit,Inverness Japan,10222.58,33,False
Vietnam,Direct Drop,Air,2008-06-03,2008-06-03,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Tablet,Mylan (formerly Matrix) Nashik,96432.0,654,False
South Africa,Direct Drop,Truck,2008-04-24,2008-04-24,S. BUYS WHOLESALER,Capsule,Roche Basel,405.06,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2008-04-24,2008-04-24,S. BUYS WHOLESALER,Powder for oral solution,"BMS Meymac, France",870.0,Weight Captured Separately,False
Vietnam,Direct Drop,Air,2008-07-12,2008-07-12,BRISTOL-MYERS SQUIBB,Chewable/dispersible tablet,"BMS Meymac, France",2800.0,81,False
South Africa,Direct Drop,,2008-04-25,2008-04-07,S. BUYS WHOLESALER,Chewable/dispersible tablet,"BMS Meymac, France",77.1,Weight Captured Separately,False
Nigeria,Direct Drop,Air,2008-07-09,2008-07-09,"Orgenics, Ltd",Test kit,Inverness Japan,439785.02,1251,False
Nigeria,Direct Drop,Air,2008-07-09,2008-07-04,"Orgenics, Ltd",Test kit - Ancillary,Inverness Japan,54.98,Weight Captured Separately,False
Ethiopia,Direct Drop,Air,2008-05-09,2008-05-09,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Test kit,"Trinity Biotech, Plc",691.42,Weight Captured Separately,False
Vietnam,Direct Drop,Air,2008-09-19,2008-09-19,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Tablet,Mylan (formerly Matrix) Nashik,18359.04,1537,False
South Africa,Direct Drop,Truck,2008-08-20,2008-08-20,S. BUYS WHOLESALER,Capsule,"BMS Meymac, France",103.4,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2008-08-20,2008-05-08,S. BUYS WHOLESALER,Delayed-release capsules - blister,"BMS Meymac, France",1906.0,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2008-08-20,2008-05-08,S. BUYS WHOLESALER,Powder for oral solution,"BMS Meymac, France",1025.1,Weight Captured Separately,False
Tanzania,Direct Drop,Air,2008-09-02,2008-09-02,BRISTOL-MYERS SQUIBB,Delayed-release capsules - blister,"BMS Meymac, France",61470.99,117,False
Haiti,Direct Drop,Air,2008-09-30,2008-09-30,Orasure Technologies Inc.,Test kit,"Pacific Biotech, Thailand",9800.0,109,False
Haiti,Direct Drop,Air,2008-11-24,2008-11-24,"Trinity Biotech, Plc",Test kit,"Trinity Biotech, Plc",11676.0,54,False
South Africa,Direct Drop,Truck,2008-06-12,2008-06-09,S. BUYS WHOLESALER,Tablet - blister,GSK Ware (UK),1049.4,Weight Captured Separately,False
Vietnam,Direct Drop,Air,2008-09-19,2008-09-19,Aurobindo Pharma Limited,Tablet,"Aurobindo Unit III, India",92736.0,2719,False
Nigeria,Direct Drop,Air,2009-02-25,2008-09-09,IDA FOUNDATION,Tablet - FDC + blister,"Novartis Pharma AG, Switzerland",1547.68,115,False
Vietnam,Direct Drop,Air,2008-10-08,2008-10-08,Aurobindo Pharma Limited,Capsule,"Aurobindo Unit III, India",60900.0,2600,False
South Africa,Direct Drop,Truck,2008-07-10,2008-07-08,S. BUYS WHOLESALER,Oral suspension,"BI, Ingelheim, Germany",696.5,Weight Captured Separately,False
Vietnam,Direct Drop,Air,2008-11-27,2008-11-27,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Tablet,Mylan (formerly Matrix) Nashik,171192.0,1224,False
Guyana,Direct Drop,Air,2008-08-15,2008-08-15,ZEPHYR BIOMEDICALS,Test kit,Not Applicable,3675.0,34,False
Zambia,Direct Drop,Air,2008-10-20,2008-10-20,"Orgenics, Ltd",Test kit,Inverness Japan,323955.0,1053,False
Namibia,Direct Drop,Air,2008-09-18,2008-09-18,"Trinity Biotech, Plc",Test kit,"Trinity Biotech, Plc",320.0,Weight Captured Separately,False
Côte d'Ivoire,Direct Drop,Air,2008-10-02,2008-10-02,BIO-RAD LABORATORIES (FRANCE),Test kit,Bio-Rad Laboratories,38000.0,562,False
Côte d'Ivoire,Direct Drop,Air,2009-01-23,2009-01-23,IDA FOUNDATION,Tablet - FDC + co-blister,Ipca Dadra/Nagar Haveli IN,9750.0,1708,False
Nigeria,Direct Drop,Air,2009-03-10,2009-04-08,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Tablet - FDC,"MSD, Haarlem, NL",453.6,Weight Captured Separately,True
Namibia,Direct Drop,Air,2008-10-29,2008-10-29,"Orgenics, Ltd",Test kit,Inverness Japan,10798.5,46,False
Botswana,Direct Drop,Air,2008-11-28,2008-11-28,"Trinity Biotech, Plc",Test kit - Ancillary,"Trinity Biotech, Plc",450.0,1,False
Zambia,Direct Drop,Air,2009-01-23,2009-01-23,"Standard Diagnostics, Inc.",Test kit,"Standard Diagnostics, Korea",6380.0,100,False
South Africa,Direct Drop,Truck,2009-05-17,2008-10-09,S. BUYS WHOLESALER,Tablet,"Aspen-OSD, Port Elizabeth, SA",1830.4,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-05-17,2009-05-17,S. BUYS WHOLESALER,Tablet,"Aspen-OSD, Port Elizabeth, SA",2745.6,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-05-17,2008-10-09,S. BUYS WHOLESALER,Powder for oral solution,"BMS Meymac, France",858.0,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-05-17,2008-10-09,S. BUYS WHOLESALER,Chewable/dispersible tablet,"BMS Meymac, France",91.35,Weight Captured Separately,False
Vietnam,Direct Drop,Air,2008-01-22,2008-01-22,Aurobindo Pharma Limited,Capsule,"Aurobindo Unit III, India",600.0,83,False
South Africa,Direct Drop,Truck,2009-05-17,2008-10-09,S. BUYS WHOLESALER,Oral solution,ABBVIE (Abbott) Logis. UK,1375.6,Weight Captured Separately,False
Guyana,Direct Drop,Air,2009-02-06,2009-02-06,ZEPHYR BIOMEDICALS,Test kit,Not Applicable,4050.0,Weight Captured Separately,False
Tanzania,Direct Drop,Air,2009-04-21,2009-04-21,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Tablet - FDC,"MSD, Haarlem, NL",2520000.0,4093,False
Côte d'Ivoire,Direct Drop,Air,2009-03-02,2009-03-02,IDA FOUNDATION,Injection,Gland Pharma Ltd Pally Factory,2731.4,5209,False
Mozambique,Direct Drop,Air,2009-03-23,2009-03-23,"Trinity Biotech, Plc",Test kit,"Trinity Biotech, Plc",182400.0,1906,False
Vietnam,Direct Drop,Air,2009-04-10,2009-04-10,Aurobindo Pharma Limited,Tablet - FDC,"Aurobindo Unit III, India",51350.04,3509,False
Vietnam,Direct Drop,Air,2009-04-10,2009-04-10,Aurobindo Pharma Limited,Tablet,"Aurobindo Unit III, India",50400.0,See ASN-3562 (ID#:960),False
Vietnam,Direct Drop,Air,2009-03-23,2009-03-23,CIPLA LIMITED,Tablet - FDC,"Cipla, Goa, India",72864.0,924,False
Vietnam,Direct Drop,Air,2009-03-16,2009-03-16,Aurobindo Pharma Limited,Tablet - FDC,"Aurobindo Unit III, India",20250.72,211,False
Tanzania,Direct Drop,Air,2009-05-28,2009-05-28,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Oral solution,ABBVIE (Abbott) Logis. UK,21536.4,644,False
Tanzania,Direct Drop,Air,2009-05-04,2009-05-04,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tablet,ABBVIE Ludwigshafen Germany,21526.32,237,False
Rwanda,Direct Drop,Air,2009-04-28,2009-04-28,Premier Medical Corporation Ltd.,Test kit,Premier Med. Corp Ltd. India,185602.5,2800,False
Nigeria,Direct Drop,Air,2009-09-30,2009-09-30,BRISTOL-MYERS SQUIBB,Delayed-release capsules - blister,"BMS Meymac, France",4734.0,11,False
Haiti,Direct Drop,Air,2009-03-31,2009-03-31,BRISTOL-MYERS SQUIBB,Chewable/dispersible tablet,"BMS Meymac, France",760.0,43,False
Haiti,Direct Drop,Air,2009-03-31,2009-03-31,BRISTOL-MYERS SQUIBB,Powder for oral solution,"BMS Meymac, France",402.88,See ASN-3675 (ID#:1046),False
Haiti,Direct Drop,Air,2009-04-15,2009-04-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tablet,ABBVIE Ludwigshafen Germany,472.88,10,False
South Africa,Direct Drop,Air,2009-03-31,2008-12-02,S. BUYS WHOLESALER,Tablet,"Aurobindo Unit III, India",47522.75,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-04-07,2008-12-03,S. BUYS WHOLESALER,Tablet,"Cipla, Goa, India",49840.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-04-07,2008-12-03,S. BUYS WHOLESALER,Oral solution,"Aurobindo Unit III, India",3588.48,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-05-05,2008-12-23,S. BUYS WHOLESALER,Powder for oral solution,"BMS Meymac, France",1152.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-05-12,2008-12-30,S. BUYS WHOLESALER,Oral solution,GSK Mississauga (Canada),10512.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-03-31,2008-11-21,S. BUYS WHOLESALER,Capsule,"Aurobindo Unit III, India",3384.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-06-25,2009-04-21,S. BUYS WHOLESALER,Oral solution,"Aurobindo Unit III, India",1954.9,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-06-25,2009-06-05,S. BUYS WHOLESALER,Capsule,"Aurobindo Unit III, India",16642.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-06-25,2009-06-17,S. BUYS WHOLESALER,Oral solution,"Aurobindo Unit III, India",1932.3,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-08-19,2009-08-19,S. BUYS WHOLESALER,Capsule,"BMS Meymac, France",10665.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-06-25,2009-04-14,S. BUYS WHOLESALER,Tablet,ABBVIE Ludwigshafen Germany,134385.3,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-06-25,2009-04-29,S. BUYS WHOLESALER,Tablet,GSK Aranda,80640.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-06-25,2009-04-20,S. BUYS WHOLESALER,Capsule,"Aurobindo Unit III, India",35016.0,Weight Captured Separately,False
Botswana,Direct Drop,Air,2009-11-13,2009-11-13,Orasure Technologies Inc.,Test kit,"Pacific Biotech, Thailand",7000.0,48,False
Côte d'Ivoire,Direct Drop,Air,2009-06-30,2009-06-30,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tablet,ABBVIE Ludwigshafen Germany,420864.0,2523,False
Côte d'Ivoire,Direct Drop,Air,2009-07-22,2009-07-22,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Capsule,ABBVIE (Abbott) Logis. UK,15344.0,175,False
South Africa,Direct Drop,Truck,2009-07-31,2009-04-21,S. BUYS WHOLESALER,Oral solution,ABBVIE (Abbott) Logis. UK,1080.0,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-05-15,2009-04-17,S. BUYS WHOLESALER,Tablet - FDC,"Aspen-OSD, Port Elizabeth, SA",2816.0,Weight Captured Separately,False
